distribution_center_id,distribution_center_name,product_category,product_name,product_department,nums_of_items_in_stock,nums_of_sold_items
1,Memphis TN,Accessories,Echo Design Women's Knit Touch Glove And Earbuds Music Set,Women,12,4
1,Memphis TN,Accessories,Echo Design Men's Warmers Touch Glove,Men,34,13
2,Chicago IL,Accessories,Frye Deborah Glazed Vintage DB970 Wallet,Women,16,6
7,Philadelphia PA,Accessories,Hobo   Metro Slide Credit Card Holder,Women,22,9
7,Philadelphia PA,Accessories,Hobo Lauren Vintage 3385 Wallet,Women,7,2
7,Philadelphia PA,Accessories,Hobo  Lauren SU-51010BLK WalletBlackOne Size,Women,6,3
7,Philadelphia PA,Accessories,HOBO  Women's Rachel Vintage VI-3356 Wallet,Women,14,5
7,Philadelphia PA,Accessories,Hobo  Women's Anya VN-20011AMB Wallet,Women,8,4
7,Philadelphia PA,Accessories,Hobo Hobo Lauren SU-51010GLD Wallet,Women,23,8
7,Philadelphia PA,Accessories,Hobo  Women's Sadie VI-32059AUTP Wallet,Women,5,2
7,Philadelphia PA,Accessories,Hobo  Sadie Wallet,Women,14,5
7,Philadelphia PA,Accessories,Hobo  Women's Millie VI-3978BOR Wallet,Women,5,2
7,Philadelphia PA,Accessories,Hobo  Women's Belinda CP-4102BLK Wallet,Women,18,7
7,Philadelphia PA,Accessories,HOBO Nancy Wallet,Women,4,2
7,Philadelphia PA,Accessories,Hobo   Zara Cross Body,Women,19,7
7,Philadelphia PA,Accessories,Hobo   Nancy Wallet,Women,15,5
4,Los Angeles CA,Accessories,hats.com Bradbury,Men,17,7
4,Los Angeles CA,Accessories,Hats with Heart 3-seam Chemo Turban,Women,2,1
8,Mobile AL,Accessories,Ibex Women's Woolies Bottom,Women,27,11
3,Houston TX,Accessories,LOCS Sunglasses Hardcore Black Dark Lens 0103 Designer Stylish w Bag,Women,16,7
3,Houston TX,Accessories,LOCS Sunglasses Hardcore Black Dark Lens 0103 Designer Stylish w Bag,Men,14,6
8,Mobile AL,Accessories,LADIES' FLEECE WINTER HAT,Women,14,5
9,Charleston SC,Accessories,NCIS Special Agents Logo Black Cap Adjustable Hat,Men,28,10
5,New Orleans LA,Accessories,Neff Men's Fold Beanie,Men,25,9
5,New Orleans LA,Accessories,neff Men's Reversible Visor Skull Cap,Men,21,7
5,New Orleans LA,Accessories,neff Men's Corpo Cap,Men,11,5
5,New Orleans LA,Accessories,neff Women's Daily Sparkle Beanie Hat,Women,25,9
5,New Orleans LA,Accessories,neff Men's Daily Skull Cap,Men,31,11
5,New Orleans LA,Accessories,Neff Men's Trio Beanie,Men,12,5
5,New Orleans LA,Accessories,neff Men's Daily Sunglass,Men,21,7
5,New Orleans LA,Accessories,neff Men's Daily Sunglass,Women,11,4
5,New Orleans LA,Accessories,neff Women's Kaycee Beanie Hat,Women,20,8
7,Philadelphia PA,Accessories,NIKE Golf Signature Swoosh Cutout II Belt,Men,28,10
7,Philadelphia PA,Accessories,Nike Leather Trifold Wallet w/Red Tin Gift Box,Men,24,8
7,Philadelphia PA,Accessories,NIKE Golf Classic Reversible Belt,Men,12,4
7,Philadelphia PA,Accessories,Nike Golf Men's Signature Swoosh Cutout II Belt,Men,14,6
7,Philadelphia PA,Accessories,NIKE Golf Basic Tripunto G-Flex Belt,Men,27,9
7,Philadelphia PA,Accessories,Nike Golf 'P50101' BiFold Wallet,Men,10,4
7,Philadelphia PA,Accessories,Nike Golf Men's Tech Essentials Web Belt,Men,28,9
7,Philadelphia PA,Accessories,Nike Golf Mens Tech Essentials 3 Pack Belt Gift Set,Men,14,6
6,Port Authority of New York/New Jersey NY/NJ,Accessories,PUMA Men's Teamsport Formation Flex Fit Cap,Men,37,14
2,Chicago IL,Accessories,Roxy Juniors Caravan Faux Leather Wallet,Women,19,7
2,Chicago IL,Accessories,Blank Long Cuff Beanie Cap (Choose Many Colors Available),Women,9,3
2,Chicago IL,Accessories,Tumi Men's Horizon Slim Single Billfold,Men,25,8
2,Chicago IL,Accessories,Tumi Men's Horizon Trifold With Id,Men,15,5
2,Chicago IL,Accessories,Tumi Men's Horizon Double Billfold,Men,19,8
2,Chicago IL,Accessories,Tumi Monaco Double Billfold,Men,23,9
2,Chicago IL,Accessories,Tumi Men's Horizon Magnetic Money Clip,Men,10,4
2,Chicago IL,Accessories,Tumi Men's Horizon Passcase With Coin Pocket,Men,15,5
2,Chicago IL,Accessories,Tumi Men's Vertex Slim Single Billfold,Men,8,3
2,Chicago IL,Accessories,Tumi Men's Bravo Compact Wallet,Men,21,9
2,Chicago IL,Accessories,Tumi Monaco Slim Single Billfold,Men,17,6
2,Chicago IL,Accessories,Tumi Men's Alpha Gusseted Id Card Case,Men,21,7
2,Chicago IL,Accessories,Tumi Meridian Money Clip Wallet,Men,32,12
2,Chicago IL,Accessories,Leather Money Clip & Credit Card Holder,Men,11,5
1,Memphis TN,Accessories,ASICS Unisex Adult Thrmopolis LT Beanie,Men,11,5
1,Memphis TN,Accessories,ASICS Unisex Adult Thrmopolis LT Beanie,Women,10,4
9,Charleston SC,Accessories,Buffalo Plaid Hunter Cap - Red W28S34E - L/XL,Women,5,2
9,Charleston SC,Accessories,Military Wool Jeep Cap - Olive,Women,5,2
2,Chicago IL,Accessories,Bosca Old Leather Front Pocket ID Wallet,Men,8,3
2,Chicago IL,Accessories,New Wool Blend Ivy Cap-Black W12S63D,Men,28,11
2,Chicago IL,Accessories,Washed Cotton Fitted Army Cap-Dark Olive W32S33F,Men,10,4
7,Philadelphia PA,Accessories,Chaos Men's Dylon Wool Blend Trapper Hat,Men,15,6
7,Philadelphia PA,Accessories,Chaos Women's Wow Quilted Trapper Hat with Faux Fur Lining,Women,27,10
7,Philadelphia PA,Accessories,Chaos Men's Muscle Wool Blend Trapper Hat,Men,20,8
7,Philadelphia PA,Accessories,Chaos Women's Francis Knit Cadet with Fleece Lining,Women,25,10
3,Houston TX,Accessories,Coach Julia Legacy Stripe ID Card Case 46800 Multi,Women,11,5
3,Houston TX,Accessories,Coach Ashley Signature Sateen Checkbook Wallet F48117,Women,14,4
3,Houston TX,Accessories,Coach Julia Leather Slim Zip Wallet 47388 (SV/Black),Women,9,4
3,Houston TX,Accessories,Coach Classic Leather Turnlock Swingpack Crossbody Messenger Bag 45012 Black,Women,8,4
3,Houston TX,Accessories,Black Solid Campus Jeep Cap Visor Beanie Ski Cap Caps Hat Hats Toque,Men,20,7
3,Houston TX,Accessories,DECKY Campus Jeep Cap Visior Beanie Hat,Men,22,8
2,Chicago IL,Accessories,Long American Flag Square Scarf,Men,23,8
2,Chicago IL,Accessories,White Checkered Fingerless Gloves4660Dmulti-c...,Women,11,4
4,Los Angeles CA,Accessories,Ducti Hybrid Bi Fold Wallet,Men,16,6
8,Mobile AL,Accessories,Ear Muffs-Off White W20S35A,Women,7,3
8,Mobile AL,Accessories,Ear Muffs-Purple W20S30F,Women,13,6
8,Mobile AL,Accessories,Ear Muffs-Black W20S35A,Women,21,7
7,Philadelphia PA,Accessories,Guess GU6325 Aviator Style Mens Sunglasses,Men,19,7
7,Philadelphia PA,Accessories,Guess Mens Sunrise Passcase,Men,13,5
9,Charleston SC,Accessories,Gucci 1013/S Sunglasses,Women,24,8
9,Charleston SC,Accessories,Sunglasses Gucci 4225/S 0ADJ White,Women,17,7
9,Charleston SC,Accessories,Gucci 3164 sunglasses,Women,18,7
9,Charleston SC,Accessories,Gucci 1013/S Sunglasses,Men,16,6
7,Philadelphia PA,Accessories,Deluxe Straw Hat-Natural,Women,10,4
8,Mobile AL,Accessories,Jaxon Corduroy Ivy Cap,Men,17,6
8,Mobile AL,Accessories,Jaxon Large Herringbone Ivy Cap,Men,24,10
8,Mobile AL,Accessories,Jaxon Herringbone Ivy Cap,Men,14,5
8,Mobile AL,Accessories,Jaxon Crushable Ford Fedora,Women,23,7
3,Houston TX,Accessories,Julbo Explorer Mountain Sunglasses,Women,11,4
3,Houston TX,Accessories,Julbo Micropore Mountain Sunglasses,Women,15,6
3,Houston TX,Accessories,4 Pack: 3/4 Inch Wide Glitter Headband Elastic Back,Women,5,2
3,Houston TX,Accessories,3 PACK: Single Layer Cotton Spandex 4.5 Raw Edge Sports & Yoga Headband,Women,10,4
6,Port Authority of New York/New Jersey NY/NJ,Accessories,Lodis Audrey Passport Wallet with Ticket Flap,Women,19,7
6,Port Authority of New York/New Jersey NY/NJ,Accessories,Lodis Audrey Zipper Pocket Card Case,Women,11,4
10,Savannah GA,Accessories,Long Beanie-Black W16S24E,Men,16,6
10,Savannah GA,Accessories,Solid Blank Short Beanie Cap - (Many Colors Available),Men,16,6
10,Savannah GA,Accessories,Long Beanie-Red W16S24E,Men,11,5
10,Savannah GA,Accessories,Trendy Military Fitted Cap- Black W32S36D,Men,28,11
10,Savannah GA,Accessories,Plain Blank Baseball Hats Adjustable Velcro (25 Colors Available),Men,10,5
1,Memphis TN,Accessories,Mundi Croco My Big Fat Wallet Zip Around w/ Safe Keeper,Women,12,5
1,Memphis TN,Accessories,File Master Wallet W/ RFID Blocking Safe Keeper,Women,13,4
1,Memphis TN,Accessories,MUNDI Big Fat Wallet,Women,17,7
1,Memphis TN,Accessories,Mundi Big Fat Wallet,Women,12,6
1,Memphis TN,Accessories,2 inch Perry Outback Comfort Suspenders (Wear Like a Vest),Men,24,7
1,Memphis TN,Accessories,1 1/2 In. Original Perry Suspenders,Men,14,4
2,Chicago IL,Accessories,Prada 1M0506 Saffiano Leather Wallet Coffee,Women,22,7
4,Los Angeles CA,Accessories,Vintage Classic Leopard Tortoise Wayfarer Style Sunglasses,Men,26,8
4,Los Angeles CA,Accessories,QLook Polarized Wayfarer Style Sunglasses - (2 Colors),Men,11,5
2,Chicago IL,Accessories,Rogue Wallets Wallet - Satin Leather,Men,18,7
2,Chicago IL,Accessories,Scala Godfather Hat,Men,20,8
2,Chicago IL,Accessories,Scala Classico Men's Crushable Felt Outback Hat,Men,18,6
2,Chicago IL,Accessories,Scala Women's Cotton Big Brim Ultraviolet Protection Hat with Inner Drawstring,Women,11,5
2,Chicago IL,Accessories,Scala Women's Stretch Chenille Glove,Women,4,2
2,Chicago IL,Accessories,Scala Wool Felt Scala Black Fedora Hats,Men,20,7
10,Savannah GA,Accessories,Smith Serpico Slim Sunglasses,Men,28,10
10,Savannah GA,Accessories,Smith Serpico Slim Sunglasses,Women,14,6
10,Savannah GA,Accessories,Isotoner Men's SMARTOUCH STRETCH GLOVE W/FRONT PARTIAL GATHERS & STITCHING - FLEECE LINED,Men,10,4
1,Memphis TN,Accessories,Men's Black Texting Touch Screen Knit Gloves,Men,21,8
8,Mobile AL,Accessories,DeLux Moose Face Wool Pilot Animal Cap/Hat with Ear Flaps and Poms,Women,9,3
2,Chicago IL,Accessories,AN1225 Women's Leopard Pattern Fashion Scarf,Women,8,3
2,Chicago IL,Accessories,AN1225 Women's Watercolor Pattern Fashion Scarf,Women,9,3
1,Memphis TN,Accessories,Alki'i 3M Thinsulate Thermal Insulation Fingerless Texting Gloves with Mitten Cover - 2 colors,Women,15,6
1,Memphis TN,Accessories,Alki'i Ribbed heavy gauge mens/womens warm beanie snowboarding winter hats - 6 colors,Men,17,7
1,Memphis TN,Accessories,Alki'i Suede Palm 3M Thinsulate Thermal Insulation Fingerless Texting Work Gloves with Mitten Cover - 2 colors,Women,17,6
1,Memphis TN,Accessories,Alki'i Braided Aviator womens warm beanie snowboarding winter snow hats - 5 colors,Women,23,8
1,Memphis TN,Accessories,Alki'i Premium Cuffed thick mens/womens warm beanie snowboarding winter hats - many colors,Men,28,10
1,Memphis TN,Accessories,Alki'i cube mens/womens warm beanie snowboarding winter hats - 6 colors,Men,42,15
1,Memphis TN,Accessories,Alki'i striped mens/womens warm beanie snowboarding winter hats - 6 colors,Men,13,5
1,Memphis TN,Accessories,Alki'i Braided Neon Aviator warm beanie snowboarding winter snow hats -4 colors,Women,12,5
6,Port Authority of New York/New Jersey NY/NJ,Accessories,Bailey Briar Hat,Men,8,3
6,Port Authority of New York/New Jersey NY/NJ,Accessories,Bailey Curtis,Men,17,6
8,Mobile AL,Accessories,Blue Q Recycled Coin Purse,Women,11,5
5,New Orleans LA,Accessories,Boconi Collins Calf Slimster Wallet,Men,27,9
5,New Orleans LA,Accessories,Boconi Collins Calf Billfold,Men,7,2
1,Memphis TN,Accessories,Fingerless Long Glove - Black W20S44E,Men,41,15
1,Memphis TN,Accessories,Broner Wool Herringbone Ear Flap Ivy Scally Cap Snap Bill Driver Cap,Men,12,5
9,Charleston SC,Accessories,Brooks Women's Infiniti Beanie,Women,25,7
9,Charleston SC,Accessories,Brooks Men's Pulse Lite Glove,Women,19,8
8,Mobile AL,Accessories,Buxton Heiress French Purse,Women,13,5
8,Mobile AL,Accessories,Buxton Heiress ConvertibleÂ® Billfold,Women,17,7
8,Mobile AL,Accessories,Buxton Deluxe Snap Card Case for Women,Women,24,9
8,Mobile AL,Accessories,Buxton Coupon or Receipt Organizer Wallet - Turquoise,Women,15,6
8,Mobile AL,Accessories,Buxton Checkbook Cover and Credit Card Holder,Women,8,4
8,Mobile AL,Accessories,Red Buxton Leather Credit Card Midsize Wallet,Women,20,7
8,Mobile AL,Accessories,Buxton Snigglet Mini Scan Card Organizer w/ Keychain,Women,10,4
3,Houston TX,Accessories,Dakine Men's Waffle Visor Beanie,Men,17,6
3,Houston TX,Accessories,Dakine Men's Lester Beanie,Men,9,3
3,Houston TX,Accessories,Dakine Men's Wendell Beanie,Men,7,3
3,Houston TX,Accessories,Dakine Women's Audrey Beanie,Women,17,6
8,Mobile AL,Accessories,Dakota Dan Winter Trooper Trapper Faux Fur Hat,Men,17,6
8,Mobile AL,Accessories,Dakota Dan Winter Trooper Trapper Faux Fur Hat,Women,9,4
10,Savannah GA,Accessories,Diesel Men's Bausy Belt,Men,26,10
10,Savannah GA,Accessories,Diesel Men's Bonio Belt,Men,17,7
10,Savannah GA,Accessories,Diesel Men's Tiedye Tie,Men,15,7
10,Savannah GA,Accessories,Fennco Ruffle Knit Infinity Loop Scarf - 3 Colors,Women,23,8
10,Savannah GA,Accessories,Fennco Fringed Infinity Loop Scarf for Men or Women - 6 Colors,Women,6,2
10,Savannah GA,Accessories,Fennco Ruffle Cotton Long Scarf - 8 Colors,Women,18,7
10,Savannah GA,Accessories,Fennco Ruffle Knit Infinity Loop Scarf - 3 Colors,Men,16,6
6,Port Authority of New York/New Jersey NY/NJ,Accessories,Fossil Maddox Multifunction,Women,15,6
6,Port Authority of New York/New Jersey NY/NJ,Accessories,Fossil Joe Belt,Men,40,15
6,Port Authority of New York/New Jersey NY/NJ,Accessories,Fossil Sheldon Lzip Bifold,Men,15,5
1,Memphis TN,Accessories,Hurley Men's One And Only Beanie Hat,Men,13,6
1,Memphis TN,Accessories,Hurley Men's Color Block Trucker,Men,14,6
1,Memphis TN,Accessories,Hurley Men's Corp FF Hat,Men,22,7
1,Memphis TN,Accessories,Hurley Men's One And Only Black Flexfit Hat,Men,24,8
3,Houston TX,Accessories,Kangol Men's Tropic 507 Hat - 6915Bc,Men,33,11
3,Houston TX,Accessories,Kangol Seamless 507 Cap,Women,4,2
3,Houston TX,Accessories,Kangol Men's Flexfit Fashionable Sleek Cap,Men,17,7
3,Houston TX,Accessories,Kangol Men's Wool 507 Cap,Men,26,9
3,Houston TX,Accessories,Kangol Men's Flexfit Army Cap,Men,18,6
3,Houston TX,Accessories,Kangol Men's Bermuda Casual Hat,Men,16,6
3,Houston TX,Accessories,Kangol Wool 504 Cap With Earlaps,Men,18,9
3,Houston TX,Accessories,Kangol Men's Cuff Less Pull On,Men,30,12
3,Houston TX,Accessories,Kangol Men's Wool 504 Cap,Men,12,4
3,Houston TX,Accessories,Kangol Men's Canvas Cap,Men,12,5
3,Houston TX,Accessories,Kangol Men's Flexfit Baseball Cap,Men,26,9
3,Houston TX,Accessories,Kangol  Men's Tropic Ventair 504 Cap,Men,25,10
3,Houston TX,Accessories,Kangol Bamboo 507 Cap,Men,24,8
3,Houston TX,Accessories,Kangol Men's Herringbone 504 Hat,Men,9,3
4,Los Angeles CA,Accessories,Levi's Mens 40mm Reversible Leather Belt,Men,38,13
4,Los Angeles CA,Accessories,Levi's Men's Feathered Reversible Belt,Men,17,6
4,Los Angeles CA,Accessories,Levi's  Men's 40 Mm Bridle Belt,Men,12,5
4,Los Angeles CA,Accessories,Levi's Men's 40mm Leather Antique Buckle Belt,Men,31,10
4,Los Angeles CA,Accessories,Levi's Men's 38Mm Bridle With Levi Logo Belt,Men,23,9
4,Los Angeles CA,Accessories,Levi's Men's 38MM Plaque Bridle Belt With Snap Closure,Men,7,3
4,Los Angeles CA,Accessories,Levi's Men's Bridle Belt With Ornament,Men,18,7
4,Los Angeles CA,Accessories,Levi's Men's 40Mm Bridle With Eagle Plaque Buckle,Men,11,5
4,Los Angeles CA,Accessories,Levi's Men's Casual Belt,Men,9,3
4,Los Angeles CA,Accessories,Levi's Men's Extra Capacity Slimfold Wallet,Men,8,3
4,Los Angeles CA,Accessories,Levi's Men's Laminate Reversible Leather Belt,Men,11,4
4,Los Angeles CA,Accessories,Levi's  Men's Belt With Antique Nickel Buckle,Men,15,5
4,Los Angeles CA,Accessories,Levi's Brown Tonal Stitched Money Clip Bifold Wallet,Men,13,4
4,Los Angeles CA,Accessories,Levi's Men's Big And Tall Cotton Terry Suspender,Men,12,4
4,Los Angeles CA,Accessories,Levi's Men's Front Pocket Wallet With Money Clip,Men,10,3
4,Los Angeles CA,Accessories,Levi's Men's Big And Tall Brown To Black Reversible Belt,Men,23,10
